order_id,order_number,order_date,fk_order_date,fk_customer,fk_product,order_item_id,unit_price,discount_value,price_paid
28956460,473905340,2021-04-29,20210429,2027,35154,28982886,119.90,0.00,119.90
28956568,467905340,2021-04-29,20210429,1064,35148,28982992,133.95,0.00,133.95
28963496,430533340,2021-04-29,20210429,2027,6572,28989922,11.94,11.94,0.00
29240850,583995740,2021-05-06,20210506,2027,35154,29268328,119.90,0.00,119.90
29252878,549131740,2021-05-06,20210506,1064,35148,29280356,133.95,0.00,133.95
29257632,518751740,2021-05-06,20210506,2027,6572,29285110,29.90,29.90,0.00
29258956,534311740,2021-05-06,20210506,1064,24454,29286510,9.99,9.99,0.00
29511504,516887140,2021-05-13,20210513,2027,35146,29540088,78.93,0.00,78.93
29578410,516696340,2021-05-14,20210514,1064,35152,29607046,164.98,0.00,164.98
29596286,422574340,2021-05-14,20210514,1064,6572,29624924,23.96,23.96,0.00
29807166,594378900,2021-05-20,20210520,1064,35148,29836488,133.95,0.00,133.95
29813968,535696900,2021-05-20,20210520,2027,35154,29843290,119.90,0.00,119.90
29817076,471536900,2021-05-20,20210520,1064,6572,29846398,7.96,7.96,0.00
29817664,558996900,2021-05-20,20210520,2027,6572,29846986,19.90,19.90,0.00
30068780,577375300,2021-05-27,20210527,2027,35146,30098754,78.93,0.00,78.93
30081476,422791300,2021-05-27,20210527,1064,35148,30111450,133.95,0.00,133.95
30344020,556967700,2021-06-03,20210603,2027,35154,30374518,119.90,0.00,119.90
30352346,447089500,2021-06-03,20210603,1064,35148,30382844,133.95,0.00,133.95
30357874,529569500,2021-06-03,20210603,1064,6572,30388372,7.96,7.96,0.00
30605260,469384300,2021-06-10,20210610,2027,35152,30636260,164.98,0.00,164.98
30617300,439732300,2021-06-10,20210610,1064,35148,30648300,133.95,0.00,133.95
30861712,524472980,2021-06-17,20210617,2027,35152,30893238,164.98,0.00,164.98
30871258,549158980,2021-06-17,20210617,1064,35148,30902784,133.95,0.00,133.95
